Direction,Month,Hour,Total_Carriageway_Flow,Total_Flow_vehicles_less_than_5pt2m,Total_Flow_vehicles_5pt21m_6pt6m,Total_Flow_vehicles_6pt61m_11pt6m,Total_Flow_vehicles_above_11pt6m,Speed_Value,WeekDay
A38_M_NB,10,11,133,99,37,4,10,75,1
A38_M_NB,1,15,39,261,10,4,22,83,4
M621_J4_EB,4,15,70,116,7,7,1,105,6
A38_M_NB,1,9,44,59,28,4,2,82,1
A38_M_NB,4,8,335,449,5,7,3,80,5
M621_J1_WB,3,19,33,143,86,6,2,80,1
M621_J7_EB,8,11,44,159,12,2,12,68,2
A38_M_NB,6,6,174,80,4,3,8,79,0
M621_J7_EB,9,20,115,55,11,55,25,112,4
A38_M_NB,3,7,533,424,12,7,30,75,5
M621_J7toM1_EB,7,7,160,14,249,63,5,108,6
M621_J1toM62_WB,10,20,379,161,7,15,2,99,4
M621_J7toM1_EB,10,20,45,272,18,2,26,80,0
M621_J4_EB,6,6,121,151,50,13,3,101,3
M621_J5toJ6_EB,10,23,254,66,15,6,9,89,4
A38_M_NB,12,21,226,207,38,54,10,78,1
M606_J3toJ2,1,19,128,8,2,75,4,80,1
A38_M_NB,3,18,502,360,15,0,50,63,1
M606_J3toJ2,8,18,67,62,0,13,5,90,3
A38_M_NB,9,13,62,253,27,4,2,83,2
M606_J3toJ2,4,16,66,136,10,5,5,112,3
M621_J1toM62_WB,4,8,140,318,18,7,4,102,0
A38_M_NB,8,4,39,164,25,3,21,80,6
M621_J4_WB,4,21,102,33,37,11,2,45,2
M621_J3toJ2A_WB,12,8,198,109,3,9,2,80,4
M606_J2toJ1,4,12,93,61,12,20,4,87,3
M621_J3toJ2A_EB,10,17,278,140,13,3,1,97,6
A38_M_NB,3,5,135,112,31,2,13,59,0
M621_J3toJ2A_WB,10,15,650,140,4,20,10,71,1
M621_J7toM1_EB,7,3,189,93,24,5,10,80,5
M606_J3toJ2,10,3,289,509,11,6,92,109,2
M621_J4_WB,6,5,408,201,12,2,2,113,5
A38_M_NB,8,8,33,238,0,47,1,92,2
M621_J4_WB,9,3,560,44,11,2,4,90,4
M606_J3toJ2,10,18,219,134,9,16,3,82,3
A38_M_NB,11,0,432,149,19,7,8,85,1
M621_J3toJ2A_WB,4,10,58,147,12,18,16,87,4
A38_M_NB,9,19,6,197,46,24,25,67,2
M621_J7_EB,9,14,45,64,14,4,5,82,2
A38_M_NB,6,16,36,124,2,2,2,89,2
M621_J4_WB,7,21,338,531,10,5,3,106,4
M606_J2toJ1,4,2,62,64,8,16,10,80,5
M621_J5toJ6_EB,3,5,91,493,10,3,3,89,1
M621_J7toM1_EB,9,17,200,566,4,21,4,93,4
M606_J1toJ2,1,20,228,100,34,10,1,95,1
M621_J3toJ2A_WB,9,0,381,33,0,6,21,81,4
M621_J3toJ2A_WB,11,3,204,41,9,2,5,86,4
M621_J3toJ2A_WB,9,6,24,200,16,13,1,123,3
M606_J1toJ2,8,23,498,42,24,7,4,85,0
M621_J7toM1_EB,1,9,80,149,9,6,9,86,6
M621_J1toM62_WB,10,6,157,533,160,49,5,105,5
M621_J7_EB,9,23,124,144,6,5,8,88,5
M621_J4_WB,9,8,588,2,10,7,3,77,3
M606_J3toJ2,11,16,115,7,17,2,3,60,0
M621_J6toJ5_WB,8,12,66,65,55,18,8,91,5
M621_J1toM62_WB,6,10,258,157,1,8,14,88,2
M621_J7_EB,8,18,707,22,13,8,2,95,4
M621_J3toJ2A_WB,3,15,221,63,12,4,1,91,5
M621_J7_EB,1,15,192,47,55,6,2,80,2
M621_J4_WB,9,14,263,15,242,6,4,79,4
M621_J4_WB,5,9,42,25,75,6,5,98,1
M621_J2_WB,3,15,102,296,40,9,1,84,1
M621_J7toM1_EB,1,1,173,4,19,7,6,89,5
M621_J4_EB,5,21,72,8,95,7,7,83,1
M621_J1toM62_WB,8,9,76,105,6,4,2,85,4
M621_J4_EB,7,3,367,72,2,7,27,76,1
A38_M_NB,1,18,509,198,94,0,8,81,1
M606_J3toJ2,10,19,14,98,14,6,1,71,2
M621_J4_EB,11,15,9,43,3,5,3,95,6
M606_J3toJ2,1,0,88,14,306,9,47,83,0
M621_J4_EB,8,20,58,13,21,3,2,92,5
M621_J1toM62_WB,11,15,68,647,16,12,5,95,2
A38_M_NB,1,23,2,181,41,8,2,88,0
M606_J3toJ2,3,15,177,12,17,24,0,87,6
M621_J3toJ2A_WB,8,3,446,237,8,4,16,77,0
M621_J3toJ2A_WB,8,8,530,27,16,7,3,103,1
M621_J3toJ2A_WB,4,6,16,86,10,24,21,86,1
M621_J4_EB,6,15,486,406,15,16,49,88,2
M621_J4_EB,10,9,26,162,38,13,10,75,1
M621_J1toM62_WB,4,9,671,179,42,14,1,73,3
M621_J7toJ6_WB,4,23,110,58,67,12,2,80,1
M621_J1_WB,9,8,76,140,18,28,1,69,4
M621_J1toM62_WB,5,7,7,45,11,4,23,86,5
M621_J7toJ6_WB,9,0,510,20,33,1,10,63,5
M621_J6toJ5_WB,1,22,88,166,11,2,7,80,1
M621_J4_WB,8,10,99,50,9,14,3,97,2
A38_M_NB,11,23,200,53,13,1,12,98,4
M621_J7toM1_EB,3,14,207,491,185,2,8,80,1
M621_J4_WB,4,23,67,16,5,44,3,92,6
M621_M1toJ7_WB,4,15,85,394,37,6,5,89,4
A38_M_NB,6,11,414,37,19,18,6,57,2
M621_J7_EB,9,12,71,206,9,2,3,77,0
A38_M_NB,9,14,4,118,13,4,0,100,6
M621_J4_EB,10,7,415,6,9,0,1,86,1
A38_M_NB,10,16,62,130,69,3,36,84,0
M621_J7_EB,6,16,98,293,0,5,2,86,5
M621_J6toJ5_WB,9,2,237,423,7,6,8,64,5
M621_J3toJ2A_WB,5,2,117,166,7,1,88,81,0
M621_J1toM62_WB,9,23,251,465,22,4,6,46,6
A38_M_NB,8,6,305,67,20,48,6,67,1
M621_J4_WB,9,6,108,162,7,1,0,81,4
M621_J1toM62_WB,2,14,176,66,6,1,2,71,4
M621_J4_WB,2,23,845,144,1,8,2,88,3
M621_J7_EB,4,18,256,640,2,21,0,68,4
M621_J7toM1_EB,4,3,23,227,8,6,4,87,0
M621_J7_EB,11,2,172,115,2,12,6,86,4
A38_M_NB,8,20,61,176,9,38,4,83,4
M621_J1_EB,9,8,91,31,0,4,0,86,4
M621_J5toJ6_EB,4,8,1210,178,8,20,1,72,4
A38_M_NB,1,15,220,33,17,5,4,90,5
M621_J3toJ2A_EB,1,9,54,49,4,18,10,98,2
A38_M_NB,8,22,609,38,300,0,0,87,1
A38_M_NB,8,15,222,0,48,7,4,113,5
A38_M_NB,10,6,167,129,18,11,35,87,0
M621_J6_WB,3,4,18,36,3,5,5,69,4
M606_J1toJ2,3,4,435,46,16,5,4,63,3
M621_J1_EB,12,19,26,56,2,20,4,73,5
M621_J7toM1_EB,4,12,240,67,3,3,14,103,5
M621_J4_WB,6,2,245,376,15,0,2,75,3
A38_M_NB,8,1,69,525,16,3,0,73,2
A38_M_NB,9,1,558,197,13,8,10,106,1
M621_J4_EB,10,16,191,345,29,45,7,84,1
M621_J3toJ2A_WB,7,19,52,31,0,3,9,103,0
M606_J1toJ2,1,4,101,315,37,55,1,75,6
M621_J7toM1_EB,4,2,176,182,32,1,1,68,5
M621_J4_EB,6,6,194,203,6,4,17,81,3
M621_J3toJ2A_EB,6,16,219,164,10,24,8,63,4
M621_J3toJ2A_WB,10,16,525,97,11,43,41,88,2
M621_J5toJ6_EB,5,19,24,131,57,3,9,105,3
M606_J3toJ2,6,21,17,177,9,15,8,81,6
M621_J1toM62_WB,8,17,47,167,5,3,2,57,4
M606_J1toJ2,4,17,174,63,5,5,4,107,3
A38_M_NB,9,23,64,169,70,8,25,81,6
M621_J7toM1_EB,7,22,699,69,5,4,1,94,4
M621_J5toJ6_EB,6,6,176,343,51,20,3,90,6
M621_J27_WB,6,18,102,111,17,23,5,69,3
M606_J1toJ2,9,4,270,177,38,8,5,48,1
M606_J2toJ1,4,10,31,150,30,50,2,84,5
A38_M_NB,3,1,1217,912,7,6,0,51,1
M621_J1toM62_WB,6,15,76,426,15,5,6,58,4
M606_J3toJ2,4,10,33,9,16,2,1,80,0
M621_J4_WB,1,16,165,52,10,6,9,48,4
M621_J1_WB,4,5,669,86,14,6,81,66,2
A38_M_NB,8,19,39,194,5,5,5,99,1
A38_M_NB,9,11,182,175,85,3,8,73,5
A38_M_NB,8,11,260,151,34,1,13,86,5
M621_J4_WB,9,1,55,184,8,2,3,87,5
M621_J1toM62_WB,2,17,211,66,11,5,6,63,0
M621_J3toJ2A_EB,9,12,36,241,86,19,4,113,0
M621_J7toJ6_WB,10,1,388,262,1,23,4,76,5
M621_M1toJ7_WB,6,1,180,47,25,7,4,47,6
M606_J1toJ2,6,4,424,17,18,3,3,78,2
M621_J4_WB,4,17,64,187,14,16,11,89,4
M606_J2toJ1,6,23,790,93,8,23,15,86,5
A38_M_NB,11,23,233,136,9,2,1,71,1
M621_J6_EB,9,0,584,92,15,1,3,85,0
M606_J3toJ2,1,6,119,177,4,3,3,73,5
M621_J1_WB,9,2,152,223,106,1,3,72,6
M621_J3toJ2A_WB,3,20,272,77,4,8,18,84,0
M621_J7_EB,7,1,876,111,2,3,8,72,5
M621_J4_EB,3,12,249,76,76,6,7,57,6
M621_J7_EB,1,14,50,29,19,1,11,71,5
M606_J2toJ1,6,14,461,96,47,2,1,113,3
M621_J6toJ5_WB,10,1,16,35,5,6,3,90,3
A38_M_NB,4,12,1002,265,15,2,19,193,3
M621_J7toM1_EB,1,11,658,1163,8,2,8,89,4
M621_J4_WB,10,18,133,266,7,6,6,89,6
M606_J1toJ2,3,15,39,20,44,9,3,78,6
M621_J7toM1_EB,11,18,7,178,71,14,3,93,1
M621_J5toJ6_EB,4,7,155,159,19,53,1,92,6
M606_J2toJ1,4,17,120,29,45,16,12,88,4
M606_J1toJ2,6,6,429,125,36,8,12,83,0
M621_J2_WB,10,20,167,181,0,39,4,84,3
A38_M_NB,8,9,437,27,18,6,49,72,2
M606_J1toJ2,3,22,80,347,10,50,2,113,0
M621_J1toM62_WB,8,10,135,65,2,18,0,89,6
M621_J1_WB,4,12,175,297,11,147,4,71,4
M621_J1toM62_WB,9,22,152,61,14,14,1,72,1
M606_J3toJ2,1,21,312,334,14,3,0,96,0
M621_J3toJ2A_WB,10,20,398,302,4,7,3,95,1
M621_J7_EB,8,15,277,427,8,7,10,112,0
A38_M_NB,9,11,355,38,11,3,6,80,4
M621_J2_WB,4,17,10,267,19,23,7,87,0
A38_M_NB,4,10,38,727,19,2,1,108,6
M621_J4_WB,3,21,267,15,7,2,3,91,4
M621_J1toM62_WB,1,5,245,52,24,3,6,61,5
M621_J3toJ2A_EB,6,8,64,203,13,23,3,110,2
A38_M_NB,10,7,532,170,13,6,2,86,2
A38_M_NB,1,3,513,237,18,3,5,85,1
M621_J27_WB,1,13,441,167,11,27,3,81,1
M621_J1_EB,7,20,342,223,0,3,1,86,0
M621_J7toM1_EB,8,15,187,539,16,4,11,58,1
M621_J6_EB,9,10,215,68,17,14,18,101,5
M621_J5toJ6_EB,8,10,142,192,1,38,29,89,5
M621_J7toJ6_WB,9,10,213,4,5,11,8,71,4
A38_M_NB,6,9,514,47,14,23,2,84,2
M621_J3toJ2A_EB,6,0,274,245,13,4,13,109,3
M621_J3toJ2A_WB,8,2,51,398,6,28,8,60,1
M621_J7toM1_EB,1,13,413,27,19,61,2,81,6
M606_J3toJ2,6,6,271,45,63,6,5,87,4
M606_J1toJ2,9,13,431,8,28,1,0,75,4
A38_M_NB,12,18,193,260,12,3,1,85,6
A38_M_NB,4,18,27,102,15,12,6,78,6
M621_J7toM1_EB,3,9,112,347,19,3,1,96,4
M621_J4_WB,9,10,453,37,16,3,4,99,1
M621_J6_WB,8,1,408,40,8,7,2,106,5
M606_J3toJ2,8,14,147,25,2,64,1,86,1
M621_J3toJ2A_WB,11,8,230,53,34,6,9,88,4
A38_M_NB,4,4,170,122,2,8,29,85,1
M621_J27_WB,10,16,131,58,39,7,9,82,0
M621_J7toM1_EB,8,16,272,78,5,10,1,90,4
M621_J7_EB,9,12,25,101,3,113,4,83,1
M621_J1_EB,10,6,264,113,0,0,3,85,4
M621_J7toM1_EB,6,22,76,205,1,4,11,95,0
M606_J1toJ2,4,7,12,56,2,6,4,61,4
M621_J7toM1_EB,3,5,72,78,10,1,7,91,3
M621_J7toM1_EB,6,20,240,406,64,11,3,81,3
M621_J6toJ5_WB,8,3,29,46,8,1,4,81,3
M621_J4_EB,8,0,405,399,12,2,0,17,3
M621_J7_EB,10,19,241,64,13,23,4,90,3
M606_J3toJ2,6,9,327,22,18,6,7,61,1
M621_J7_EB,8,19,164,181,26,4,3,81,3
M621_J4_EB,4,5,296,26,16,15,7,100,1
A38_M_NB,4,0,13,67,11,7,44,87,4
M621_J1_EB,9,4,111,53,3,9,3,103,1
A38_M_NB,1,16,443,44,15,3,11,88,1
M621_M1toJ7_WB,9,20,249,38,16,24,34,104,1
M621_J27_WB,9,12,24,242,231,22,1,79,6
M621_J2_WB,9,23,30,0,36,2,2,65,0
M621_J4_EB,8,14,7,178,289,0,6,87,4
M621_J1_WB,7,8,286,293,9,1,0,96,2
A38_M_NB,4,21,254,11,12,112,4,108,1
M621_J7_EB,4,22,134,65,13,1,14,91,1
A38_M_NB,3,7,290,37,13,11,1,85,3
M621_J2_WB,8,2,171,97,26,3,3,79,2
M606_J1toJ2,3,8,254,53,4,0,19,87,4
A38_M_NB,11,8,124,29,12,6,0,96,5
M621_J7_EB,9,16,104,481,51,6,14,35,6
M621_J7toM1_EB,7,20,22,785,3,15,3,106,2
M621_J7toM1_EB,6,11,200,79,13,7,9,82,4
M621_J7toJ6_WB,1,3,211,53,146,0,9,81,5
M621_J6_WB,7,12,286,49,15,1,4,90,4
M621_J1_EB,1,5,46,172,11,9,9,85,5
A38_M_NB,9,5,393,329,8,5,32,60,6
M621_J1toM62_WB,1,10,71,90,11,12,3,97,6
M606_J1toJ2,11,15,47,15,11,27,4,83,2
A38_M_NB,7,12,5,345,36,49,2,99,5
A38_M_NB,10,3,298,73,8,2,18,85,0
M621_J4_WB,4,9,55,66,5,4,9,86,5
A38_M_NB,5,8,4,121,6,1,1,81,2
M621_J6_EB,8,10,366,460,23,18,8,90,1
A38_M_NB,6,13,175,77,58,3,9,82,0
A38_M_NB,9,20,476,14,18,31,3,69,3
A38_M_NB,12,13,33,157,5,23,3,110,5
M621_J4_WB,7,3,36,64,4,2,3,79,2
M606_J1toJ2,3,10,43,120,9,52,2,55,0
M621_J1toM62_WB,1,14,50,11,12,6,27,92,4
M621_J3toJ2A_EB,11,4,323,54,19,6,2,104,3
M621_J7_EB,6,19,100,66,47,6,1,86,2
M621_J5toJ6_EB,7,3,803,261,15,5,2,84,5
M606_J2toJ1,9,10,238,5,9,56,11,68,1
A38_M_NB,5,8,203,265,21,18,9,58,0
A38_M_NB,7,13,178,205,79,2,1,64,1
M606_J3toJ2,5,21,26,202,11,5,6,93,1
M606_J2toJ1,3,14,5,200,19,8,8,87,4
M621_J1toM62_WB,9,21,209,344,18,16,2,87,6
M621_J4_WB,9,6,124,94,107,9,1,79,6
M621_J4_WB,10,5,66,388,0,31,9,89,6
M606_J3toJ2,4,16,33,16,18,10,11,80,1
M621_J1_WB,6,16,1072,64,1,30,8,75,5
A38_M_NB,4,12,9,113,28,7,2,91,2
M621_J6_WB,1,19,29,231,12,11,3,88,2
A38_M_NB,4,17,526,212,76,8,31,71,0
M621_J4_WB,4,22,368,364,1,12,3,103,2
M621_J6_WB,4,20,215,262,12,19,0,100,2
M621_J6_WB,4,2,89,25,11,6,12,82,6
M606_J2toJ1,9,15,230,82,0,1,5,83,3
M621_J1_WB,6,16,161,49,14,32,7,85,6
M621_J3toJ2A_WB,8,12,247,198,32,1,6,73,3
M606_J2toJ1,6,6,259,125,16,16,29,101,3
M621_J1_WB,6,19,84,364,9,1,2,90,0
A38_M_NB,9,23,72,116,95,5,4,91,1
M621_J1toM62_WB,8,10,145,123,67,15,5,68,1
A38_M_NB,11,16,303,18,10,6,5,66,5
M621_J6toJ5_WB,11,18,103,57,13,3,13,63,2
A38_M_NB,10,15,196,340,17,54,2,109,4
M621_J2_WB,4,3,64,44,49,6,1,84,1
M606_J3toJ2,4,5,109,27,13,16,17,80,4
M621_J3toJ2A_WB,10,0,432,492,40,3,3,61,4
M621_J7toM1_EB,9,9,97,14,4,5,5,83,6
M621_J4_EB,1,11,109,5,33,4,0,81,6
A38_M_NB,10,1,109,105,110,7,1,97,4
M621_J1toM62_WB,8,8,195,1,11,49,21,94,5
M621_J2_WB,8,16,15,238,9,9,84,89,2
M621_J3toJ2A_EB,8,5,45,267,3,5,4,93,1
M621_J4_WB,4,22,16,158,13,2,5,101,5
M606_J3toJ2,4,22,98,16,12,12,12,84,6
A38_M_NB,3,2,143,231,13,3,5,85,0
M621_J1toM62_WB,8,6,504,210,13,7,1,80,5
M621_J7toM1_EB,8,17,133,243,1,15,0,82,1
A38_M_NB,8,23,295,100,23,1,11,110,4
M621_J7toJ6_WB,3,18,157,431,33,6,1,84,5
M621_J3toJ2A_EB,3,5,238,56,15,0,4,81,5
M621_J1toM62_WB,8,2,569,56,12,4,0,91,3
M621_J7_EB,10,19,646,372,2,5,2,64,4
M621_J1toM62_WB,3,17,116,19,3,7,9,86,4
M621_J4_WB,9,1,126,653,16,35,3,61,6
M621_J1toM62_WB,6,20,59,266,3,21,14,87,0
M621_J7toJ6_WB,1,3,151,433,12,3,2,82,3
M621_J4_WB,3,8,371,182,18,18,7,97,4
M621_J4_WB,3,4,63,128,18,8,2,42,1
M621_J1_EB,6,17,295,233,13,9,6,89,2
M621_J6_EB,9,12,16,195,15,22,13,91,0
M621_J4_EB,3,19,76,68,6,3,9,90,2
M606_J1toJ2,3,16,74,661,7,5,1,91,3
A38_M_NB,8,9,62,173,12,14,2,94,2
M621_J6toJ5_WB,9,13,170,30,55,7,3,63,4
M621_J7toM1_EB,5,19,304,34,7,16,1,84,0
M621_J1toM62_WB,11,4,303,34,16,40,10,82,0
M621_J3toJ2A_WB,1,4,121,20,62,2,8,82,4
M621_J7_EB,9,5,217,4,1,15,9,90,6
M621_J1toM62_WB,10,14,329,123,35,2,9,79,2
M621_J7toM1_EB,5,19,66,200,14,12,1,51,5
M621_J3toJ2A_WB,10,5,256,57,6,17,5,68,2
M621_J7_EB,9,13,334,150,42,7,6,82,3
M621_J7toJ6_WB,7,16,634,35,24,7,5,94,3
M621_J7_EB,4,17,278,526,1,7,12,88,0
A38_M_NB,10,0,128,939,1,24,2,78,2
M621_J4_EB,7,17,72,104,5,6,2,84,5
M621_J1toM62_WB,9,13,55,206,3,8,4,66,0
A38_M_NB,9,13,139,56,19,14,9,63,6
M621_J1toM62_WB,8,6,161,350,7,0,5,86,0
M606_J2toJ1,11,11,258,189,40,1,26,50,4
M621_J7_EB,5,10,263,384,16,7,3,82,3
A38_M_NB,4,13,60,196,20,30,5,111,3
M621_J7toM1_EB,7,20,474,232,15,4,10,69,4
M621_J1_EB,5,20,277,602,8,9,13,57,6
M621_J1_EB,10,19,174,327,6,12,0,83,5
A38_M_NB,3,18,554,37,14,1,7,48,4
A38_M_NB,4,2,62,146,28,19,2,112,6
M621_J1toM62_WB,4,9,131,70,12,38,3,84,4
M621_J7toM1_EB,8,14,48,24,13,10,1,71,5
A38_M_NB,8,2,0,164,48,1,29,70,1
M621_J7toM1_EB,3,18,379,27,4,48,4,99,6
M621_J7_EB,6,16,329,185,14,7,20,88,0
M621_J1toM62_WB,4,12,384,17,19,41,4,82,1
M621_J1_EB,12,7,78,106,33,14,1,108,1
M606_J1toJ2,4,8,136,18,25,6,8,82,2
M621_J4_EB,9,15,142,428,54,2,2,77,5
A38_M_NB,11,8,22,222,10,72,12,82,1
A38_M_NB,4,12,103,192,16,7,12,93,3
M621_J1toM62_WB,4,14,59,200,17,6,2,79,5
A38_M_NB,8,2,662,499,0,6,2,34,1
M606_J2toJ1,9,20,47,240,5,8,5,80,4
M606_J1toJ2,9,3,228,213,17,1,7,200,0
M606_J2toJ1,3,20,94,187,17,4,5,84,1
A38_M_NB,7,22,134,171,17,9,9,76,1
A38_M_NB,9,12,442,102,10,8,1,66,1
A38_M_NB,3,5,3,154,17,57,7,87,1
M621_J4_EB,10,4,250,451,10,15,0,102,6
M621_J7toM1_EB,11,19,255,36,21,6,3,82,6
M621_M1toJ7_WB,6,11,63,4,15,13,3,112,1
M621_J1toM62_WB,9,11,52,260,13,26,5,96,5
A38_M_NB,1,10,49,27,15,3,0,62,5
M621_J4_EB,9,7,11,30,16,8,6,70,0
M621_J27_WB,9,6,218,131,10,9,5,80,4
M621_M1toJ7_WB,1,22,30,44,16,9,23,100,2
A38_M_NB,8,15,118,254,93,41,14,193,0
M621_J6_WB,1,17,320,17,5,2,18,90,4
M606_J3toJ2,6,9,76,62,11,16,9,81,0
M606_J1toJ2,4,16,107,57,11,5,2,101,1
M621_J4_EB,9,15,303,170,4,2,2,76,4
M606_J1toJ2,1,21,514,54,0,5,3,94,4
M621_J4_WB,9,14,849,304,19,5,2,78,4
M621_J2_WB,5,21,46,413,36,4,2,90,6
M621_J1toM62_WB,2,10,81,315,93,3,1,87,6
M621_J3toJ2A_EB,9,11,40,146,18,3,4,61,3
M606_J3toJ2,9,18,25,285,3,42,3,84,1
M621_J4_WB,12,4,247,37,20,7,4,55,6
M621_J1toM62_WB,10,6,130,461,8,4,10,104,2
M621_J1_EB,4,22,36,260,15,18,2,203,5
M621_J7_EB,10,21,357,38,113,8,2,106,1
M621_J7toM1_EB,4,9,191,731,77,1,7,88,0
A38_M_NB,9,23,545,251,16,14,3,82,1
M606_J1toJ2,1,14,631,54,7,2,2,76,6
M621_J1_EB,3,4,828,340,9,12,8,110,1
M621_J6toJ5_WB,8,15,520,2,14,8,4,85,1
M621_M1toJ7_WB,9,14,123,36,0,14,5,89,1
M621_J7toM1_EB,8,14,338,88,1,0,24,101,6
M621_J7toJ6_WB,9,5,58,333,1,36,6,75,2
M606_J3toJ2,2,0,375,15,46,7,3,86,2
M621_M1toJ7_WB,3,9,213,177,6,4,6,113,6
M606_J1toJ2,4,10,351,466,0,7,3,89,1
A38_M_NB,5,20,213,57,6,21,1,105,5
M621_J7toM1_EB,8,17,64,345,28,9,1,112,1
M606_J1toJ2,9,22,123,479,14,24,5,82,3
M621_J4_WB,5,4,497,156,25,5,2,83,1
A38_M_NB,7,13,257,195,5,6,1,107,2
M621_J5toJ6_EB,1,4,57,10,0,8,1,85,4
M621_J7_EB,9,14,14,87,15,6,10,102,3
M606_J2toJ1,6,21,642,21,31,6,3,89,0
M621_J1_WB,8,22,32,90,27,37,2,75,0
M621_J1_WB,4,2,55,104,5,57,6,70,6
M621_J5toJ6_EB,4,22,472,206,28,14,6,78,5
M606_J1toJ2,5,10,496,446,12,17,0,90,3
A38_M_NB,10,20,371,446,88,8,8,81,6
M621_J1toM62_WB,1,23,369,194,25,44,3,79,5
M606_J3toJ2,1,14,287,269,40,44,3,98,4
M621_J7_EB,8,2,255,352,10,6,2,110,4
M606_J1toJ2,7,8,504,43,8,36,2,78,3
M621_J2_WB,8,20,215,98,1,47,34,87,3
M621_J7toM1_EB,3,8,49,231,2,14,2,88,3
M621_J4_EB,8,14,42,78,47,4,1,80,0
M621_J7_EB,9,14,162,65,33,8,8,85,3
M621_J7toM1_EB,9,21,80,318,34,2,3,12,3
M621_J6_EB,8,4,279,31,57,4,2,81,2
M621_J4_WB,9,13,211,184,15,7,4,76,0
M621_J7toM1_EB,4,13,568,50,16,4,2,75,3
M621_M1toJ7_WB,3,9,343,124,17,7,0,111,4
M621_J1toM62_WB,7,9,177,65,13,19,2,60,5
A38_M_NB,10,0,315,247,16,0,4,100,1
M606_J3toJ2,8,19,154,253,14,1,9,71,1
A38_M_NB,7,8,104,285,91,2,5,90,3
M621_J1toM62_WB,6,5,260,109,0,41,27,102,0
A38_M_NB,9,9,287,104,35,4,4,80,4
M621_J4_EB,9,21,361,81,15,2,2,89,1
M621_J1_WB,10,14,30,215,16,2,5,81,3
